AED;Дирхам ОАЭ
AFN;Афганский афгани
ALL;Албанский лек
AMD;Армянский драм
ANG;Нидерландский антильский гульден
AOA;Ангольская кванза
ARS;Аргентинское песо
AUD;Австралийский доллар
AWG;Арубанский флорин
AZN;Азербайджанский манат
BAM;Конвертируемая марка Боснии и Герцеговины
BBD;Барбадосский доллар
BDT;Бангладешская така
BGN;Болгарский лев
BHD;Бахрейнский динар
BIF;Бурундийский франк
BMD;Бермудский доллар
BND;Брунейский доллар
BOB;Боливийский боливиано
BRL;Бразильский реал
BSD;Багамский доллар
BTN;Бутанский нгултрум
BWP;Ботсванская пула
BZD;Белизский доллар
CAD;Канадский доллар
CDF;Конглолезский франк
CHF;Швейцарский франк
CLF;Условная расчетная единица Чили
CLP;Чилийское песо
CNH;Оффшорный китайский юань
CNY;Жэньминьби
COP;Колумбийское песо
CUP;Кубинский песо
CVE;Эскудо Кабо-Верде
CZK;Чешская крона
DJF;Франк Джибути
DKK;Датская крона
DOP;Доминиканское песо
DZD;Алжирский динар
EGP;Египетский фунт
ERN;Эритрейская накфа
ETB;Эфиопский быр
EUR;Евро
FJD;Доллар Фиджи
FKP;Фунт Фолклендских островов
GBP;Фунт стерлингов
GEL;Грузинский лари
GHS;Ганский седи
GIP;Гибралтарский фунт
GMD;Гамбийский даласи
GNF;Гвинейский франк
GTQ;Гватемальский кетсаль
GYD;Гайанский доллар
HKD;Гонконгский доллар
HNL;Гондурасская лемпира
HRK;Хорватская куна
HTG;Гаитянский гурд
HUF;Венгерский форинт
ICP;Internet Computer
IDR;Индонезийская рупия
ILS;Новый израильский шекель
INR;Индийская рупия
IQD;Иракский динар
IRR;Иранский риал
ISK;Исландская крона
JEP;Фунт Джерси
JMD;Ямайский доллар
JOD;Иорданский динар
JPY;Японская иена
KES;Кенийский шиллинг
KGS;Киргизский сом
KHR;Камбоджийский риель
KMF;Франк Комор
KPW;Северокорейский вон
KRW;Южнокорейская вона
KWD;Кувейтский динар
KYD;Доллар Каймановых Островов
KZT;Казахстанский тенге
LAK;Лаосский кип
LBP;Ливанский фунт
LKR;Шри-ланкийская рупия
LRD;Либерийский доллар
LSL;Лоти Лесото
LYD;Ливийский динар
MAD;Марокканский дирхам
MDL;Молдавский лей
MGA;Малагайский ариари
MKD;Македонский денар
MMK;Мьянманский кьят
MNT;Монгольский тугрик
MOP;Патака Макао
MRO;Мавританская угия
MRU;Мавританская угия
MUR;Мавританская рупия
MVR;Мальдивская руфия
MWK;Малавийская квача
MXN;Мексиканское песо
MYR;Малазийский ринггит
MZN;Мозамбикский метикал
NAD;Доллар Намибии
NGN;Нигерийская найра
NOK;Норвежская крона
NPR;Непальская рупия
NZD;Новозеландский доллар
OMR;Оманский риал
PAB;Панамский бальбоа
PEN;Перуанский соль
PGK;Кина Папуа-Новой Гвинеи
PHP;Филипинское песо
PKR;Пакистанская рупия
PLN;Польский злотый
PYG;Парагвайский гуарани
QAR;Катарский риал
RON;Румынский лей
RSD;Сербский ддинар
RUB;Российский рубль
RUR;Российский рубль (1992 - 1998)
RWF;Франк Руанды
SAR;Саудовский риял
SBDf;Доллар Соломоновых Островов
SCR;Сейшельская рупия
SDG;Суданский фунт
SDR;СДР (старый)
SEK;Шведская крона
SGD;Сингапурский доллар
SHP;Фунт острова Святой Елены
SLL;Сьерра-леонский леоне
SOS;Сомалийский шиллинг
SRD;Суринамский доллар
SYP;Сирийский фунт
SZL;Свазилендский лилангени
THB;Тайский бат
TJS;Таджикский сомони
TMT;Туркменский манат
TND;Тунисский динар
TOP;Тонганская паанга
TRY;Турецкая лира
TTD;Доллар Тринидада и Тобаго
TWD;Новый тайваньский доллар
TZS;Танзанийский шиллинг
UAH;Украинская гривна
UGX;Угандийский шиллинг
USD;Доллар США
UYU;Уругвайское песо
UZS;Узбекский сум
VND;Вьетнамский донг
VUV;Вату
WST;Тала
XAF;Центральноафриканский франк КФА
XCD;Восточнокарибский доллар
XDR;СДР (специальные права заимствования)
XOF;Западноафриканский франк КФА
XPF;Франк КФП
YER;Йеменский риал
ZAR;Южноафриканский рэнд
ZMW;Замбийская квача
ZWL;Доллар Зимбабве
